transaction_id,customer_name,phone_number,age,city,transaction_date,product_category,amount,payment_method
503599,Grace,09204304430,,Miami,2023-12-28,Sports,,
967219,Eva,09354237606,,New York,,Sports,,paypal
751183,Bob,09207338350,,Seattle,,Toys,,debit card
464707,David,09202329513,,Miami,2023-12-17,Groceries,,credit card
974214,Eva,09988326094,,Chicago,,Toys,143.67,paypal
305368,Grace,09353494530,,Chicago,2023-11-19,Clothing,10000.0,
942979,Henry,09451895486,,Los Angeles,,Home & Kitchen,,debit card
993598,David,09452381600,,Houston,2023-08-31,Books,,credit card
111706,Alice,09459184610,,Miami,,Groceries,,
526034,Eva,09450025879,,San Francisco,2023-04-28,Home & Kitchen,,cash
188935,Frank,09356002438,,Houston,2023-08-08,Groceries,,paypal
889067,Charlie,09176233474,,,2023-08-07,Clothing,253.32,cash
794052,David,09177034507,,Houston,2023-01-17,Books,,paypal
122637,David,09452404980,,Houston,2023-08-25,Clothing,,cash
829225,Alice,09209842059,,Los Angeles,2023-07-12,Electronics,,debit card
474094,Bob,09354847434,33.0,Houston,2023-07-24,Home & Kitchen,10000.0,paypal
383575,Eva,09980119159,55.0,Miami,2023-09-05,Toys,,
245698,David,09454472283,,San Francisco,,Sports,,debit card
637080,Frank,09174336375,,Miami,2023-11-02,Electronics,,debit card
103831,Henry,09351161008,,Seattle,2023-06-24,Home & Kitchen,,cash
960273,Alice,09206963736,45.0,Chicago,2023-02-24,Toys,,credit card
694350,Alice,09989294500,,Seattle,2023-08-19,Groceries,,cash
337629,Alice,09203596335,,,2023-03-07,Sports,10000.0,
333633,David,09205991172,,Chicago,,Home & Kitchen,271.82,credit card 
816855,Eva,09980201269,,Chicago,2023-06-20,Electronics,,cash
659402,Bob,09985031243,37.0,Seattle,2023-05-22,Books,,paypal
901851,Charlie,09351608798,,,2023-01-04,Clothing,10000.0,debit card
659193,Henry,09172864977,,Los Angeles,,Clothing,,paypal
958531,David,09451393763,69.0,Seattle,2023-07-06,Electronics,,cash
471413,Henry,09356219704,,San Francisco,2023-07-27,Sports,,cash
364329,Charlie,09173640701,,Chicago,,Electronics,,paypal
928125,Frank,09352536603,78.0,Miami,,Groceries,,debit card
763151,David,09456760901,89.0,Los Angeles,2023-09-06,Books,,paypal
653617,Bob,09200566488,,Chicago,2023-10-14,Home & Kitchen,,debit card
554424,David,09452934415,45.0,New York,2023-09-18,Groceries,10000.0,cash
225667,Henry,09459220501,,San Francisco,2023-01-27,Home & Kitchen,10000.0,credit card 
349110,Bob,09358201646,,Miami,2023-01-11,Books,,cash
870735,Charlie,09450102455,,Miami,2023-09-04,Groceries,469.07,paypal
446260,Henry,09352776484,,Seattle,2023-12-25,Sports,,cash
702875,Frank,09205629272,63.0,Chicago,2023-10-27,Electronics,,credit card
181541,Frank,09178424499,,Seattle,2023-09-19,Toys,,cash
342742,Bob,09458900745,,Los Angeles,2023-08-11,Books,,cash
417786,Alice,09204399929,,Seattle,,Sports,52.35,credit card 
106721,Eva,09352676665,69.0,Miami,2023-04-08,Sports,,credit card
107051,Eva,09178926280,25.0,Miami,2023-06-11,Electronics,,credit card
508230,Eva,09201231501,,Miami,2023-02-12,Sports,10000.0,
981172,Charlie,09205175302,,New York,,Books,,credit card
757442,Charlie,09200916171,,Chicago,2023-03-22,Sports,,cash
959585,David,09179145545,,New York,,Electronics,,credit card 
656486,Bob,09179274839,,Miami,2023-06-23,Electronics,,cash
622107,Frank,09177232364,79.0,Chicago,2023-09-27,Books,23.67,debit card
297912,Grace,09453703900,65.0,Chicago,2023-10-22,Toys,,debit card
768473,Alice,09208693597,83.0,Los Angeles,,Home & Kitchen,,debit card
907431,Alice,09981433972,,Los Angeles,2023-07-15,Home & Kitchen,,cash
540826,Alice,09353606050,,Los Angeles,2023-03-03,Electronics,,cash
955993,Bob,09357578621,,Houston,,Electronics,150.52,paypal
366556,Frank,09177262440,,Los Angeles,2023-07-30,Sports,10000.0,credit card 
379604,Charlie,09200815655,,San Francisco,,Toys,10000.0,
567081,Frank,09353139996,,Houston,2023-11-01,Electronics,140.51,debit card
750508,Eva,09201938681,,New York,2023-04-30,Books,10000.0,paypal
864957,Eva,09985628125,,Miami,2023-02-12,Books,,paypal
325500,Eva,09981269372,,San Francisco,2023-02-04,Home & Kitchen,31.72,credit card 
173221,Bob,09459229210,26.0,Miami,2023-06-26,Toys,,debit card
429559,Eva,09454599385,,Los Angeles,,Clothing,,paypal
462516,Eva,09172762741,,Houston,2023-07-15,Home & Kitchen,10000.0,paypal
608020,David,09985411040,,Miami,2023-09-08,Groceries,,credit card 
845447,Frank,09984856494,,,2023-08-07,Home & Kitchen,,cash
855537,David,09202264468,,Chicago,,Clothing,39.98,debit card
359606,Henry,09171376727,76.0,Los Angeles,2023-01-18,Groceries,,credit card 
112467,Henry,09350073147,,Los Angeles,2023-02-15,Toys,295.86,
439095,Frank,09209354502,,San Francisco,,Books,,credit card 
998816,Eva,09458832441,,,2023-01-26,Toys,,credit card
187961,Grace,09454644219,43.0,San Francisco,,Electronics,10000.0,
429033,Eva,09171805567,,Houston,2023-01-13,Groceries,242.39,paypal
296790,David,09984074963,,Chicago,,Home & Kitchen,297.45,
850592,Eva,09359519122,,,2023-04-01,Clothing,,paypal
321247,Alice,09451112466,,San Francisco,,Toys,,credit card 
695055,Henry,09350925716,,Los Angeles,2023-08-26,Groceries,,
588327,David,09204764090,,New York,2023-03-03,Toys,,debit card
470203,Charlie,09352595266,,Miami,2023-02-27,Home & Kitchen,308.33,
265708,Alice,09177437084,,Chicago,2023-05-06,Groceries,10000.0,cash
641816,Alice,09204481293,,,2023-10-25,Home & Kitchen,,
610110,Frank,09173649013,,Seattle,,Books,,
228285,David,09989337485,35.0,Chicago,2023-02-01,Books,,cash
261014,Bob,09200446031,,Seattle,2023-07-28,Toys,10000.0,
266928,Grace,09205771539,,Los Angeles,2023-12-31,Toys,,credit card
203593,Grace,09205320167,,Houston,2023-07-11,Books,,paypal
720265,Henry,09175076799,28.0,Chicago,,Books,139.83,paypal
929291,Bob,09204274752,,Chicago,2023-06-16,Electronics,,paypal
499156,Alice,09989389577,,Los Angeles,2023-01-30,Toys,333.85,cash
110314,Charlie,09200374008,,Miami,2023-11-14,Sports,,credit card 
500056,Alice,09452227479,54.0,New York,2023-10-10,Electronics,,credit card 
762064,Henry,09450480350,,Seattle,2023-05-02,Clothing,395.61,credit card 
300586,Eva,09200220270,,Miami,,Groceries,,debit card
668579,David,09357249462,,Miami,2023-02-08,Toys,10000.0,
587458,Grace,09453710601,,Los Angeles,2023-12-21,Home & Kitchen,10000.0,cash
317631,Frank,09458036678,31.0,Seattle,,Sports,,cash
207296,Bob,09354069142,,Houston,,Toys,,cash
707832,David,09200974603,,Los Angeles,2023-10-21,Electronics,,cash
650323,Frank,09175188486,,Los Angeles,2023-04-19,Toys,,credit card 
426104,Henry,09359130541,,Los Angeles,,Electronics,255.78,cash
385912,Grace,09450382008,,Seattle,2023-10-27,Electronics,,paypal
994328,Charlie,09988626909,,New York,,Sports,320.77,
366945,Charlie,09983358704,,Seattle,2023-04-17,Sports,,cash
522768,Eva,09458955219,,Seattle,2023-02-05,Toys,10000.0,paypal
923764,Henry,09356591645,,New York,2023-09-13,Home & Kitchen,,debit card
623099,David,09981989761,38.0,New York,2023-08-23,Clothing,,debit card
701319,Charlie,09450498018,,Seattle,2023-10-16,Electronics,10000.0,debit card
611613,Grace,09459881763,,Houston,2023-09-13,Clothing,10000.0,paypal
843500,Frank,09209956024,,San Francisco,,Sports,,credit card 
228074,Bob,09175680529,,San Francisco,,Sports,,debit card
960137,Charlie,09985641310,,Houston,2023-04-03,Clothing,,credit card
572132,Eva,09173220967,,,2023-03-24,Electronics,489.18,credit card
271073,Eva,09207824873,,Miami,2023-11-30,Sports,10000.0,paypal
513496,Alice,09980800238,,,2023-01-03,Toys,,cash
536976,Grace,09173549994,,San Francisco,2023-08-01,Home & Kitchen,,cash
396426,Eva,09172001440,34.0,Chicago,2023-08-03,Toys,,
219239,Charlie,09450098511,,New York,2023-06-10,Toys,,debit card
704650,David,09989639820,,Los Angeles,2023-06-15,Books,,paypal
618924,David,09175380281,,,2023-01-26,Books,448.31,debit card
809890,Frank,09358611707,,Los Angeles,2023-08-12,Groceries,,debit card
688730,Charlie,09980303239,,Houston,2023-02-16,Groceries,,cash
616989,Eva,09350648538,,Seattle,,Toys,,debit card
569744,Charlie,09203222031,,San Francisco,,Sports,86.75,credit card 
122906,Bob,09454301748,,Houston,2023-09-05,Home & Kitchen,,debit card
218624,David,09980587391,,New York,,Home & Kitchen,,cash
860127,Alice,09203510947,,Chicago,2023-08-07,Groceries,,credit card 
722377,Alice,09209039107,,,,Electronics,,cash
403243,Frank,09350894378,,Houston,2023-06-23,Home & Kitchen,,cash
156036,Bob,09981004554,,Los Angeles,2023-03-19,Electronics,,credit card
650934,Bob,09357526340,,Chicago,2023-04-06,Books,,paypal
445870,Henry,09450160351,,Los Angeles,2023-01-24,Sports,10000.0,cash
496673,Bob,09987712656,,Miami,2023-01-27,Electronics,10000.0,paypal
190905,Charlie,09459978859,,Chicago,2023-09-05,Electronics,,cash
244239,Frank,09179874701,50.0,Miami,2023-06-24,Toys,,paypal
908428,David,09175482261,28.0,New York,2023-07-10,Clothing,330.31,paypal
233748,Charlie,09171102798,,Chicago,,Clothing,38.99,paypal
340538,Eva,09450862971,,New York,,Books,,cash
399122,Alice,09459880757,,Seattle,2023-10-27,Toys,,cash
215674,Alice,09354709311,,Los Angeles,,Clothing,,cash
977844,Bob,09453450491,,Houston,2023-05-08,Toys,10000.0,paypal
197511,Alice,09358720564,,Los Angeles,,Toys,10000.0,cash
893419,Charlie,09351248018,,Los Angeles,2023-09-02,Electronics,10000.0,paypal
549015,Eva,09178905269,,Los Angeles,2023-05-05,Toys,,paypal
632756,Bob,09350311360,,Chicago,,Groceries,481.14,debit card
612451,Frank,09204291978,,San Francisco,,Toys,183.81,cash
818313,David,09456097998,,Miami,2023-12-25,Electronics,,paypal
380472,Bob,09354213662,,New York,2023-02-26,Groceries,10000.0,debit card
233027,Alice,09983241869,,Los Angeles,2023-09-21,Sports,,credit card 
576538,David,09170740312,71.0,San Francisco,2023-12-03,Electronics,,
458235,Alice,09209745194,,New York,2023-04-25,Groceries,10000.0,paypal
235505,Grace,09455919588,,New York,2023-02-09,Books,,cash
709745,Charlie,09202141343,,Houston,2023-03-12,Sports,347.59,cash
866250,Charlie,09357582655,,Seattle,2023-06-01,Toys,,
369853,Bob,09455013522,,Miami,,Books,,cash
795315,Charlie,09170029074,,San Francisco,2023-12-20,Books,,credit card
123564,David,09178077932,,San Francisco,2023-08-25,Books,,paypal
142666,Alice,09204063408,,Chicago,,Sports,,debit card
483915,Frank,09172423281,,San Francisco,,Sports,,
186122,Eva,09987890145,,Houston,,Books,,
829845,Henry,09987871642,,Seattle,2023-05-13,Electronics,10000.0,paypal
913791,Frank,09176788419,,San Francisco,2023-01-01,Books,,credit card 
817996,Bob,09356428879,,Los Angeles,2023-01-11,Books,,cash
864166,Alice,09451740970,,Houston,2023-03-02,Home & Kitchen,,cash
305450,Eva,09981076773,,San Francisco,2023-08-03,Groceries,10000.0,credit card 
856799,Grace,09453806469,,Chicago,2023-12-08,Electronics,,cash
703305,Charlie,09353351033,,Houston,2023-10-31,Toys,290.65,cash
578836,Henry,09451522436,,Los Angeles,2023-09-26,Clothing,,paypal
713729,Alice,09206818200,,Chicago,2023-12-21,Clothing,,
575756,David,09209146436,,New York,2023-10-11,Clothing,,
892761,Eva,09455105531,41.0,Los Angeles,2023-05-02,Home & Kitchen,,paypal
592484,Grace,09458447023,,New York,2023-04-20,Sports,,credit card
774696,Frank,09982468644,,New York,2023-07-20,Home & Kitchen,,debit card
497317,David,09204874008,56.0,Seattle,,Sports,,paypal
325782,Eva,09205111819,36.0,Chicago,2023-10-22,Groceries,,cash
263960,Frank,09205656175,,Houston,2023-05-10,Groceries,10000.0,paypal
855696,Charlie,09179905651,,Houston,,Groceries,,paypal
153579,Alice,09207094057,,Miami,,Books,177.9,paypal
643256,Grace,09206997447,59.0,San Francisco,2023-08-21,Toys,,credit card 
748023,Eva,09986781744,,Chicago,2023-01-24,Electronics,,cash
947907,Henry,09174383016,,New York,,Toys,112.83,credit card 
514262,Charlie,09457785657,,Houston,2023-03-29,Electronics,,credit card 
522411,Bob,09176674778,,Houston,2023-12-17,Home & Kitchen,305.84,paypal
242942,Charlie,09985341225,,Los Angeles,2023-03-28,Groceries,,credit card
269535,Charlie,09357989025,,Chicago,2023-03-16,Clothing,,cash
559566,Henry,09989433808,80.0,San Francisco,2023-07-04,Toys,,debit card
959317,Henry,09982668222,22.0,,2023-06-07,Home & Kitchen,,paypal
404316,Bob,09988522967,,Los Angeles,2023-09-21,Books,135.71,debit card
624447,Alice,09208871794,,Houston,2023-05-18,Books,,
801988,Eva,09207243678,63.0,Los Angeles,2023-01-01,Home & Kitchen,,
950482,Charlie,09358229825,,Los Angeles,2023-07-06,Books,10000.0,credit card
960389,Charlie,09451666126,30.0,Los Angeles,2023-05-11,Books,,debit card
405770,Bob,09451272560,,Chicago,,Home & Kitchen,,credit card 
161959,Eva,09177410304,,,2023-12-17,Books,,credit card
111628,Henry,09451909942,,Seattle,2023-10-23,Electronics,10000.0,
509552,Grace,09170963769,,Seattle,,Books,,credit card
695333,David,09350218446,,Seattle,2023-06-13,Groceries,,cash
880694,Charlie,09984244904,,Houston,,Books,10000.0,
585205,Grace,09456833934,,,,Toys,,debit card
414356,Alice,09988726715,,Miami,2023-11-07,Electronics,85.55,cash
410745,Frank,09171673889,,Chicago,,Electronics,,paypal
133698,Alice,09357286017,,Miami,2023-09-22,Sports,10000.0,credit card 
898782,Charlie,09980118807,,New York,,Sports,,debit card
636466,Eva,09359416227,52.0,Los Angeles,2023-08-25,Groceries,,paypal
881681,Charlie,09356665966,,Houston,2023-12-23,Sports,,debit card
852031,Henry,09176877841,,Houston,,Toys,,cash
200463,Grace,09359951037,,Houston,,Electronics,,debit card
247275,David,09355590563,,San Francisco,,Groceries,,cash
183552,Alice,09353787137,,Chicago,,Toys,208.39,debit card
686938,Charlie,09987596691,,New York,2023-12-17,Home & Kitchen,,credit card 
757355,Eva,09454869571,,,2023-07-21,Toys,,credit card 
697147,Bob,09201185087,34.0,Miami,2023-04-16,Toys,,cash
960583,Charlie,09986284801,,Miami,2023-08-01,Electronics,,debit card
557486,Eva,09174404098,,Los Angeles,2023-04-07,Books,,cash
635399,Eva,09209627242,,New York,2023-01-04,Sports,,credit card 
694886,Alice,09350769953,,Los Angeles,2023-07-07,Electronics,,credit card
433984,David,09178399051,,New York,2023-07-11,Clothing,,cash
582075,Frank,09456048629,,Chicago,2023-06-17,Electronics,,credit card 
631757,Eva,09455655290,,,2023-07-23,Books,10000.0,debit card
309530,Alice,09203840204,,Los Angeles,2023-02-03,Books,,cash
452107,Frank,09981422997,,Seattle,2023-12-28,Home & Kitchen,10000.0,
851054,Henry,09458830048,,Seattle,2023-12-19,Electronics,276.83,cash
783876,Henry,09204424434,,Houston,2023-03-31,Electronics,,debit card
108037,Grace,09989033835,,San Francisco,,Electronics,,
575804,Charlie,09202450392,,Houston,,Books,,credit card 
326900,David,09177298270,,Seattle,,Groceries,10000.0,debit card
375927,Charlie,09204361617,,Miami,,Groceries,10000.0,paypal
366876,David,09982359687,,Los Angeles,2023-11-07,Sports,,paypal
850166,Frank,09988431014,,San Francisco,,Home & Kitchen,,paypal
747676,Grace,09351768258,,Los Angeles,2023-08-13,Home & Kitchen,,credit card 
834084,Frank,09456860307,,Houston,2023-11-16,Books,,debit card
659598,David,09358705725,,Houston,2023-04-26,Toys,,paypal
806781,David,09355934408,,Seattle,2023-11-18,Clothing,,credit card
487497,Bob,09174676892,,,2023-04-11,Groceries,,paypal
410425,Frank,09171569215,,Los Angeles,2023-12-14,Electronics,,credit card
342165,Henry,09988772147,,Houston,2023-05-08,Toys,,paypal
345844,David,09354390466,,Houston,,Clothing,379.98,credit card
728604,Bob,09982666877,,New York,,Home & Kitchen,10000.0,paypal
480884,Grace,09450207652,,New York,,Electronics,,credit card
927168,Eva,09450089499,,Miami,2023-03-03,Clothing,,cash
615898,Eva,09203926472,85.0,Los Angeles,2023-02-06,Books,,cash
612049,Bob,09359445777,,Seattle,,Home & Kitchen,,cash
900130,Charlie,09357936344,,Houston,,Home & Kitchen,,credit card
263522,Grace,09357175391,,San Francisco,,Electronics,,cash
585430,Eva,09455574720,,San Francisco,,Toys,,debit card
507182,Frank,09981206963,,Los Angeles,,Toys,,paypal
511663,Charlie,09175584038,,Miami,2023-02-18,Clothing,,credit card 
955205,Alice,09357423082,88.0,Seattle,2023-04-17,Clothing,,
135721,Eva,09205457216,,Chicago,2023-04-25,Toys,407.59,
620976,Henry,09359186804,,San Francisco,,Toys,59.52,paypal
675186,Grace,09981397685,,Chicago,2023-02-04,Books,,credit card 
945819,Bob,09450338721,,San Francisco,2023-03-18,Sports,,debit card
926813,David,09201449377,,Chicago,2023-06-26,Books,,cash
571600,Frank,09353046902,,New York,2023-12-30,Sports,,cash
840127,Henry,09989089284,,Seattle,2023-08-10,Sports,,paypal
854579,Eva,09208498489,,Los Angeles,2023-10-14,Electronics,,cash
579799,Bob,09207786986,,Los Angeles,,Electronics,,paypal
402459,Bob,09452759948,,Chicago,,Toys,10000.0,
917653,Bob,09350279700,,Los Angeles,,Groceries,,credit card
185853,Eva,09454225370,,Chicago,,Home & Kitchen,,
102888,Alice,09980985214,,New York,,Books,10000.0,
640133,Eva,09459862825,,Chicago,2023-01-23,Clothing,,
879021,Henry,09202722150,,Los Angeles,,Toys,,debit card
921575,Frank,09989009543,,Los Angeles,2023-04-27,Toys,,paypal
238177,Henry,09982105615,,Chicago,2023-04-29,Books,355.61,credit card 
437758,Grace,09358619574,,Chicago,2023-01-25,Electronics,107.51,debit card
413776,Frank,09205936378,,Houston,2023-03-19,Toys,278.41,
476240,David,09172910979,,Miami,2023-11-03,Clothing,,cash
763531,Eva,09203310779,,Houston,,Home & Kitchen,,cash
418122,Grace,09174887228,,Miami,2023-02-18,Toys,,cash
377321,Frank,09980733458,21.0,Seattle,2023-04-26,Electronics,,debit card
824254,Grace,09202363259,,Houston,2023-11-08,Clothing,10000.0,
416660,Eva,09458828456,83.0,Seattle,2023-01-01,Electronics,,credit card
828482,David,09203327958,,Miami,2023-02-07,Groceries,,cash
570642,Alice,09989982051,,Seattle,,Books,10000.0,debit card
471600,Charlie,09176035206,,San Francisco,,Books,,credit card
125016,Charlie,09450548622,,Miami,,Groceries,,cash
751543,Alice,09354050320,,Houston,,Books,,debit card
677618,Charlie,09456518968,,New York,,Home & Kitchen,,paypal
928065,Henry,09170421668,,San Francisco,2023-06-16,Books,,debit card
582959,Frank,09986188691,,Los Angeles,2023-05-09,Electronics,,credit card 
457829,Henry,09201705297,,Los Angeles,2023-08-16,Groceries,325.93,
725742,Henry,09982744124,,San Francisco,2023-03-03,Electronics,,
473499,Bob,09351030609,,San Francisco,2023-04-20,Toys,,
791542,Henry,09201563918,,Seattle,,Electronics,10000.0,cash
478361,Bob,09173496835,,New York,,Sports,10000.0,
881707,Henry,09986940668,34.0,Los Angeles,2023-03-07,Home & Kitchen,10000.0,paypal
438737,Eva,09987124324,,Houston,2023-08-30,Sports,10000.0,credit card 
342029,David,09351950581,,Chicago,2023-08-14,Books,,cash
407120,Bob,09173071037,,New York,2023-06-29,Electronics,,debit card
171012,Henry,09458205530,,Chicago,2023-04-27,Groceries,,debit card
736106,Charlie,09175158999,,New York,2023-08-07,Sports,,paypal
268535,David,09985666018,,Miami,,Clothing,,credit card 
359341,Alice,09170218465,,Seattle,2023-02-02,Toys,,paypal
610472,Alice,09179621533,73.0,Los Angeles,2023-01-24,Sports,,cash
275632,Grace,09984473646,,San Francisco,,Home & Kitchen,,credit card 
674944,David,09981090947,,New York,,Toys,,credit card 
244731,Bob,09352965375,,Miami,,Home & Kitchen,,cash
240644,Grace,09201762785,,Miami,,Toys,,cash
932644,Charlie,09452573907,,,,Home & Kitchen,,cash
605171,Charlie,09982141392,33.0,New York,2023-09-30,Toys,,paypal
165352,Eva,09455706833,,Chicago,2023-06-04,Toys,277.06,credit card
