Transaction_ID,Customer_Name,Purchase_Date,Amount_Spent,Payment_Method,Customer_Age
1162,Henry,2023/02/15,-50.0,debit ,45.0
1163,Ivy,2023.05.12,500.3,paypal,38.0
1164,David,"March 5, 2023",60.0,cash,200.0
1165,Alice ,04-10-2023,-50.0,debit ,38.0
1166,Alice ,2023-10-10,75.5,paypal,-5.0
1167,nan,06-15-23,100.0,Credit Card,
1168,David,08/25/2023,100.0,Cash,45.0
1169,Grace,2023-01-01,320.75,Cash,25.0
1170,Bob,2023-10-10,100.0,Venmo,60.0
1171, charlie,08/25/2023,-50.0, Credit,45.0
1172,Alice ,2023-07-20,120.25,debit ,40.0
1173,Eve,2023-01-01,85.0,Credit Card,200.0
1174,Alice ,2023/02/15,-50.0,crypto,38.0
1175,Henry,"March 5, 2023",60.0,debit ,200.0
1176,Alice ,2023-01-01,-50.0,cash,-5.0
1177,Alice ,09-30-23,99999.99, Credit,45.0
1178,Bob,08/25/2023,85.0,debit ,29.0
1179,Bob,2023/02/15,75.5,Credit Card,45.0
1180,Frank,09-30-23,100.0,debit ,25.0
1181,Grace,2023-07-20,85.0,cash,45.0
1182,Eve,09-30-23,100.0,crypto,30.0
1183,Alice ,06-15-23,320.75,PayPal,-5.0
1184,Alice ,06-15-23,85.0,Credit,34.0
1185, charlie,04-10-2023,100.0,crypto,-5.0
1186,Bob,2023-10-10,75.5,paypal,38.0
1187,Eve,2023-10-10,,debit ,60.0
1188,nan,2023/02/15,250.5,Cash,34.0
1189,Frank,2023-07-20,250.5,Venmo,38.0
1190,Grace,2023.05.12,75.5,Cash,38.0
1191,David,06-15-23,99999.99,crypto,25.0
1192,Grace,2023/02/15,,Cash,25.0
1193,Henry,2023.05.12,320.75,Credit Card,50.0
1194,Alice ,2023-10-10,75.5,Cash,
1195,Frank,04-10-2023,250.5, Credit,40.0
1196,Henry,09-30-23,250.5,PayPal,
1197,Eve,06-15-23,250.5,debit ,
1198,David,2023/02/15,500.3,Cash,60.0
1199,Bob,2023-01-01,75.5,cash,40.0
1200,Frank,2023.05.12,-50.0,PayPal,29.0
1201,Frank,09-30-23,320.75,PayPal,34.0
1202,Alice ,06-15-23,250.5,Cash,200.0
1203,Ivy,2023-10-10,100.0,PayPal,
1204,Frank,2023-07-20,75.5,Venmo,60.0
1205, charlie,2023.05.12,60.0,Cash,50.0
1206,David,2023-10-10,500.3,Credit Card,45.0
1207,David,06-15-23,75.5,crypto,45.0
1208, charlie,2023.05.12,320.75, Credit,38.0
1209,nan,09-30-23,500.3,Credit,40.0
1210, charlie,06-15-23,320.75,paypal,38.0
1211, charlie,08/25/2023,75.5,PayPal,60.0
1212,David,2023/02/15,-50.0,Credit Card,30.0
1213,Grace,09-30-23,60.0,debit ,30.0
1214,David,2023.05.12,320.75,debit ,50.0
1215,Ivy,2023-07-20,500.3,paypal,200.0
1216,Alice ,2023-10-10,500.3, Credit,25.0
1217,Henry,2023-01-01,320.75,PayPal,25.0
1218,Grace,2023-10-10,120.25,Venmo,40.0
1219,Bob,2023.05.12,75.5,paypal,40.0
1220,Henry,2023-10-10,120.25, Credit,
1221,Alice ,2023/02/15,99999.99,PayPal,30.0
1222,Ivy,06-15-23,75.5,Credit Card,
1223,Ivy,2023-01-01,320.75,crypto,25.0
1224,Bob,"March 5, 2023",,Venmo,34.0
1225,Grace,2023.05.12,320.75,Credit,34.0
1226,nan,04-10-2023,120.25,debit ,40.0
1227, charlie,"March 5, 2023",-50.0,cash,38.0
1228,Grace,2023-10-10,320.75,Credit Card,25.0
1229,nan,2023.05.12,320.75,debit ,34.0
1230,Ivy,08/25/2023,-50.0,Cash,25.0
1231,David,04-10-2023,320.75,cash,-5.0
1232,Alice ,2023-01-01,250.5,debit ,45.0
1233,Bob,2023-07-20,, Credit,30.0
1234,Alice ,08/25/2023,100.0,Venmo,
1235,Eve,"March 5, 2023",,debit ,25.0
1236,Eve,06-15-23,60.0,Credit,45.0
1237,Grace,2023/02/15,320.75,crypto,-5.0
1238,Ivy,2023-07-20,250.5, Credit,
1239,Ivy,08/25/2023,75.5,Credit Card,25.0
1240, charlie,06-15-23,320.75,Credit Card,40.0
1241, charlie,06-15-23,120.25,Credit Card,45.0
1242, charlie,2023.05.12,250.5,Credit Card,
1243,David,08/25/2023,-50.0,crypto,25.0
1244,Henry,2023-01-01,250.5,debit ,45.0
1245,Frank,2023-10-10,-50.0,PayPal,-5.0
1246,Henry,04-10-2023,99999.99,debit ,25.0
1247,Alice ,04-10-2023,100.0,Cash,25.0
1248,Henry,"March 5, 2023",85.0,Venmo,25.0
1249,David,"March 5, 2023",250.5,cash,50.0
1250,Alice ,04-10-2023,500.3,PayPal,200.0
1251,Henry,2023-01-01,120.25,PayPal,50.0
1252,David,2023/02/15,320.75,debit ,40.0
1253,Frank,09-30-23,120.25,PayPal,-5.0
1254,Henry,2023-10-10,,paypal,50.0
1255,David,2023/02/15,85.0,paypal,
1256, charlie,2023.05.12,,Cash,60.0
1257,Ivy,09-30-23,99999.99,cash,200.0
1258, charlie,09-30-23,85.0,Credit,38.0
1259,Ivy,08/25/2023,85.0,crypto,60.0
1260,Bob,2023-01-01,,debit ,200.0
1261,Bob,2023-01-01,-50.0,crypto,30.0
1262,Bob,09-30-23,,Credit,30.0
1263,Frank,08/25/2023,120.25,debit ,25.0
1264, charlie,2023-10-10,-50.0,debit ,200.0
1265,Ivy,09-30-23,120.25,cash,38.0
1266,David,2023-07-20,99999.99,crypto,200.0
1267,Alice ,"March 5, 2023",320.75,paypal,40.0
1268,David,"March 5, 2023",60.0,Credit Card,60.0
1269,Alice ,2023/02/15,75.5,crypto,40.0
1270,Eve,2023.05.12,-50.0,Venmo,38.0
1271,David,"March 5, 2023",99999.99,Venmo,200.0
1272,Henry,06-15-23,60.0,debit ,45.0
1273,Henry,2023/02/15,500.3,Credit Card,40.0
1274,Grace,"March 5, 2023",99999.99, Credit,40.0
1275, charlie,2023.05.12,,Credit,34.0
1276,Alice ,2023-01-01,,Cash,200.0
1277,Alice ,2023-01-01,75.5,Credit Card,40.0
1278, charlie,2023-10-10,99999.99,Cash,50.0
1279,Frank,09-30-23,100.0,crypto,-5.0
1280,Grace,2023-07-20,320.75,crypto,200.0
1281,Frank,2023-01-01,,Cash,30.0
1282,Frank,08/25/2023,75.5,Credit,34.0
1283,Frank,"March 5, 2023",320.75,Credit Card,40.0
1284, charlie,08/25/2023,99999.99, Credit,34.0
1285,Frank,2023.05.12,99999.99,debit ,30.0
1286,Henry,2023-01-01,85.0,cash,38.0
1287,Bob,2023-07-20,75.5,crypto,38.0
1288,Eve,2023.05.12,60.0,Venmo,60.0
1289,Alice ,06-15-23,,Credit,200.0
1290,Alice ,06-15-23,100.0,cash,30.0
1291,Eve,08/25/2023,99999.99, Credit,29.0
1292, charlie,09-30-23,100.0,PayPal,60.0
1293,David,2023/02/15,99999.99,debit ,29.0
1294, charlie,09-30-23,,crypto,200.0
1295,Alice ,2023-10-10,320.75,debit ,25.0
1296,Alice ,09-30-23,250.5,cash,34.0
1297,Eve,2023-10-10,320.75,debit ,34.0
1298,Frank,2023-10-10,99999.99,PayPal,38.0
1299, charlie,2023-07-20,120.25,cash,29.0
1300,Ivy,2023-01-01,250.5,crypto,50.0
1301,Eve,2023-07-20,60.0,Credit Card,
1302,Henry,2023-10-10,250.5,Venmo,40.0
1303,Alice ,2023.05.12,100.0,cash,40.0
1304,Eve,06-15-23,75.5,paypal,40.0
1305, charlie,2023-10-10,100.0,PayPal,38.0
1306,Alice ,2023-07-20,100.0,cash,30.0
1307,David,2023.05.12,60.0,cash,50.0
1308,Eve,2023-07-20,120.25,paypal,45.0
1309,Grace,09-30-23,320.75,crypto,29.0
1310,Alice ,"March 5, 2023",320.75,cash,50.0
1311, charlie,08/25/2023,500.3,Venmo,60.0
1312,Bob,2023/02/15,99999.99,debit ,29.0
1313,Ivy,2023-07-20,120.25,crypto,50.0
1314,nan,2023/02/15,500.3,Venmo,
1315,Frank,04-10-2023,,crypto,50.0
1316,nan,2023-07-20,99999.99,Venmo,50.0
1317, charlie,"March 5, 2023",99999.99,PayPal,50.0
1318,Henry,2023/02/15,85.0,Venmo,34.0
1319,Henry,2023-10-10,85.0,Cash,25.0
1320,Bob,2023-07-20,-50.0,Venmo,200.0
1321,Frank,2023-01-01,-50.0,Credit Card,60.0
1322,Grace,08/25/2023,100.0,Credit Card,60.0
1323,Bob,"March 5, 2023",,Credit,34.0
1324,nan,2023/02/15,250.5,Cash,30.0
1325,Bob,"March 5, 2023",250.5,Cash,200.0
1326,nan,2023.05.12,85.0,debit ,29.0
1327,Alice ,08/25/2023,85.0,Cash,30.0
1328,Henry,2023-10-10,85.0,debit ,200.0
1329,Alice ,2023-07-20,120.25,Credit,
1330,Ivy,2023-07-20,75.5,Credit,
1331,Frank,2023-07-20,-50.0,PayPal,-5.0
1332,Grace,08/25/2023,120.25,Credit Card,45.0
1333,nan,2023-01-01,320.75,Venmo,
1334,Grace,04-10-2023,250.5,Venmo,29.0
1335,nan,06-15-23,60.0,paypal,25.0
1336, charlie,09-30-23,99999.99,paypal,40.0
1337,Bob,2023/02/15,-50.0, Credit,-5.0
1338,Ivy,2023-01-01,500.3,crypto,40.0
1339,Henry,2023-10-10,320.75,PayPal,60.0
1340,nan,2023/02/15,-50.0, Credit,50.0
1341,Grace,2023-07-20,60.0, Credit,45.0
1342,Ivy,"March 5, 2023",120.25,cash,60.0
1343,David,2023-10-10,,cash,200.0
1344,David,2023/02/15,99999.99, Credit,60.0
1345,Alice ,2023-07-20,-50.0,Cash,38.0
1346,Henry,2023/02/15,75.5,crypto,
1347, charlie,"March 5, 2023",85.0,PayPal,25.0
1348,Grace,2023-07-20,85.0, Credit,45.0
1349,Bob,04-10-2023,99999.99,Venmo,40.0
1350,Bob,2023-01-01,60.0,crypto,-5.0
1351,Grace,2023.05.12,120.25,cash,
1352,Frank,09-30-23,85.0,Venmo,29.0
1353, charlie,08/25/2023,-50.0,cash,
1354,Ivy,09-30-23,500.3,cash,-5.0
1355,nan,2023-10-10,250.5,crypto,-5.0
1356,Frank,09-30-23,250.5,cash,38.0
1357,nan,2023-07-20,320.75,Credit,
1358,nan,04-10-2023,100.0,Credit Card,60.0
1359,Frank,2023.05.12,,Credit,
1360,Alice ,2023-01-01,99999.99,Credit Card,50.0
1361,David,2023-01-01,320.75,paypal,38.0
1362,nan,"March 5, 2023",100.0,paypal,30.0
1363,Frank,08/25/2023,120.25,cash,30.0
1364,Frank,2023/02/15,75.5,PayPal,50.0
1365,Eve,04-10-2023,75.5,PayPal,200.0
1366,Alice ,2023/02/15,,Credit Card,30.0
1367,Henry,2023.05.12,85.0,Venmo,50.0
1368,Eve,09-30-23,-50.0,crypto,34.0
1369,Eve,2023-01-01,320.75,cash,60.0
1370,Grace,2023.05.12,320.75,crypto,
1371,David,09-30-23,99999.99,Credit,60.0
1372,Frank,2023-01-01,99999.99,PayPal,50.0
1373,David,09-30-23,75.5,Cash,25.0
1374, charlie,08/25/2023,75.5,Credit,
1375,Grace,04-10-2023,60.0,Credit,34.0
1376,Henry,2023-10-10,500.3,Credit Card,34.0
1377,David,2023.05.12,500.3,debit ,60.0
1378,Bob,2023.05.12,60.0,Credit,40.0
1379,nan,06-15-23,85.0,cash,
1380, charlie,2023-07-20,500.3, Credit,45.0
1381,Alice ,08/25/2023,-50.0, Credit,34.0
1382,Henry,08/25/2023,-50.0,cash,25.0
1383, charlie,2023/02/15,320.75,debit ,38.0
1384,nan,09-30-23,250.5,debit ,200.0
1385,Grace,2023-07-20,60.0,Credit Card,40.0
1386,nan,04-10-2023,-50.0,PayPal,38.0
1387,Eve,04-10-2023,100.0,crypto,40.0
1388,nan,08/25/2023,75.5,debit ,25.0
1389,Eve,04-10-2023,99999.99,Cash,60.0
1390,Grace,06-15-23,500.3,Credit Card,-5.0
1391,Ivy,2023.05.12,60.0,paypal,
1392,Eve,"March 5, 2023",320.75,Venmo,50.0
1393,Alice ,2023-10-10,,paypal,29.0
1394,nan,2023/02/15,99999.99,Credit Card,45.0
1395,nan,09-30-23,100.0,Credit,38.0
1396,Alice ,2023-10-10,500.3,crypto,
1397,Bob,09-30-23,100.0,Venmo,45.0
1398,Frank,2023-01-01,75.5,paypal,-5.0
1399,Ivy,2023-10-10,75.5,Venmo,29.0
1400,Henry,"March 5, 2023",85.0,Cash,45.0
1401,Eve,08/25/2023,320.75,Cash,45.0
1402,Alice ,06-15-23,99999.99,Cash,38.0
1403,Grace,2023.05.12,120.25,Credit Card,30.0
1404,Eve,2023.05.12,120.25,crypto,29.0
1405,Frank,06-15-23,99999.99,Credit Card,
1406,Grace,2023-07-20,, Credit,-5.0
1407, charlie,2023-01-01,320.75,Credit,29.0
1408,nan,09-30-23,100.0,Credit,60.0
1409, charlie,"March 5, 2023",,Cash,25.0
1410,Eve,04-10-2023,250.5, Credit,60.0
1411,Frank,2023-10-10,99999.99,debit ,30.0
1412,Ivy,2023-01-01,100.0,debit ,25.0
1413,Eve,2023-10-10,120.25,Cash,-5.0
1414,Alice ,"March 5, 2023",-50.0,paypal,38.0
1415,David,2023/02/15,60.0,Credit Card,38.0
1416,Eve,2023/02/15,85.0,Cash,-5.0
1417,nan,2023-01-01,120.25,PayPal,40.0
1418,nan,08/25/2023,320.75,Venmo,-5.0
1419,Eve,"March 5, 2023",75.5,Credit,60.0
1420,Grace,"March 5, 2023",60.0,debit ,30.0
1421,David,06-15-23,60.0,cash,34.0
1422,Alice ,08/25/2023,-50.0,debit ,38.0
1423,Eve,09-30-23,85.0,Credit,200.0
1424,Grace,09-30-23,85.0,Venmo,30.0
1425,nan,04-10-2023,250.5,Credit,50.0
1426,nan,2023.05.12,250.5,cash,30.0
1427,Frank,2023/02/15,500.3,Cash,30.0
1428,Eve,09-30-23,120.25, Credit,45.0
1429,David,08/25/2023,120.25,cash,30.0
1430,Bob,"March 5, 2023",120.25,Credit,38.0
1431,David,09-30-23,500.3,Credit,34.0
1432,nan,"March 5, 2023",,PayPal,34.0
1433,nan,09-30-23,85.0,PayPal,30.0
1434, charlie,2023/02/15,-50.0,crypto,50.0
1435,nan,2023-10-10,320.75,PayPal,25.0
1436,Alice ,09-30-23,85.0,Credit Card,38.0
1437,Henry,08/25/2023,250.5, Credit,38.0
1438,Eve,09-30-23,60.0,Venmo,50.0
1439,David,2023.05.12,100.0,cash,29.0
1440,Henry,2023/02/15,75.5,Credit,60.0
1441,Grace,08/25/2023,500.3,crypto,50.0
1442,Bob,06-15-23,99999.99,crypto,50.0
1443,Alice ,08/25/2023,100.0,Venmo,
1444,David,2023.05.12,320.75, Credit,40.0
1445,Henry,2023-10-10,120.25,cash,50.0
1446,Bob,2023/02/15,250.5,debit ,40.0
1447, charlie,06-15-23,250.5,PayPal,25.0
1448,Alice ,2023.05.12,250.5,Cash,40.0
1449,Alice ,2023.05.12,120.25,crypto,29.0
1450, charlie,2023-01-01,99999.99,PayPal,50.0
1451,Eve,2023/02/15,500.3,PayPal,50.0
1452, charlie,08/25/2023,100.0,Credit Card,-5.0
1453,Alice ,"March 5, 2023",120.25, Credit,40.0
1454,Alice ,2023-10-10,320.75,Cash,38.0
1455,Henry,"March 5, 2023",500.3,debit ,50.0
1456,nan,08/25/2023,320.75,Credit,60.0
1457,Bob,08/25/2023,500.3,Credit Card,-5.0
1458, charlie,2023/02/15,99999.99,PayPal,40.0
1459,Bob,08/25/2023,75.5,PayPal,38.0
1460, charlie,2023-01-01,320.75,paypal,38.0
1461,Grace,06-15-23,120.25,Cash,30.0
1462,Alice ,08/25/2023,500.3,Cash,34.0
1463,nan,"March 5, 2023",250.5,paypal,25.0
1464,Henry,08/25/2023,85.0,Cash,29.0
1465,nan,2023-01-01,250.5,PayPal,45.0
1466,nan,09-30-23,,crypto,50.0
1467,nan,09-30-23,75.5,cash,
1468,Bob,2023.05.12,75.5,PayPal,40.0
1469, charlie,2023-10-10,250.5,Credit Card,40.0
1470,Ivy,04-10-2023,100.0, Credit,-5.0
1471,Grace,06-15-23,99999.99,paypal,-5.0
1472,David,2023-07-20,320.75,debit ,
1473,nan,2023.05.12,120.25,Credit,40.0
1474,Eve,2023-10-10,75.5,debit ,200.0
1475,Bob,09-30-23,250.5,PayPal,29.0
1476,Henry,"March 5, 2023",250.5,Credit Card,40.0
1477,David,2023-07-20,99999.99,PayPal,50.0
1478,Ivy,2023-10-10,99999.99, Credit,34.0
1479,Eve,2023-10-10,-50.0,crypto,
1480,Ivy,2023.05.12,-50.0,Credit,50.0
1481,David,2023-07-20,100.0, Credit,200.0
1482,nan,2023/02/15,100.0,paypal,29.0
1483,Eve,04-10-2023,,paypal,40.0
1484,Ivy,2023/02/15,100.0,PayPal,45.0
1485,Henry,2023-07-20,500.3,Credit Card,30.0
1486, charlie,2023/02/15,99999.99, Credit,50.0
1487,Alice ,2023-01-01,120.25,Venmo,34.0
1488, charlie,09-30-23,500.3,Credit Card,45.0
1489,David,2023-01-01,320.75,crypto,60.0
1490,Bob,08/25/2023,250.5,paypal,-5.0
1491,Alice ,2023/02/15,100.0,PayPal,50.0
1492,Grace,08/25/2023,250.5,Cash,-5.0
1493,Henry,"March 5, 2023",75.5,paypal,40.0
1494,Grace,06-15-23,,Credit,-5.0
1495,Eve,"March 5, 2023",75.5,cash,60.0
1496,Alice ,2023-07-20,,Cash,34.0
1497,Grace,2023-10-10,-50.0,PayPal,29.0
1498,Grace,09-30-23,250.5,Venmo,38.0
1499,Ivy,2023/02/15,,Cash,25.0
1500, charlie,2023.05.12,60.0,Credit,
1501,Ivy,06-15-23,60.0,Credit Card,29.0
1502,Alice ,04-10-2023,60.0,Venmo,38.0
1503,Alice ,04-10-2023,85.0,paypal,200.0
1504,David,04-10-2023,500.3,Venmo,50.0
1505,Ivy,2023/02/15,, Credit,50.0
1506,Frank,04-10-2023,,Credit,34.0
1507, charlie,2023-01-01,500.3,Cash,50.0
1508,Alice ,06-15-23,250.5, Credit,45.0
1509,David,2023-01-01,250.5,Venmo,38.0
1510,Ivy,2023-10-10,60.0, Credit,34.0
1511, charlie,06-15-23,500.3,debit ,30.0
1512,Ivy,2023-01-01,60.0,Credit,45.0
1513,Grace,06-15-23,75.5,crypto,50.0
1514,David,2023-10-10,85.0,Credit Card,-5.0
1515, charlie,08/25/2023,120.25,Venmo,60.0
1516,nan,2023/02/15,320.75,Credit,-5.0
1517,Eve,2023/02/15,85.0,crypto,45.0
1518,Eve,04-10-2023,250.5,crypto,200.0
1519, charlie,"March 5, 2023",120.25,PayPal,50.0
1520,Ivy,04-10-2023,-50.0, Credit,200.0
1521,David,2023-07-20,100.0,crypto,200.0
1522,Eve,2023-01-01,60.0,debit ,38.0
1523,David,06-15-23,,Credit,
1524,Eve,"March 5, 2023",500.3,cash,38.0
1525,Grace,2023-10-10,500.3,cash,40.0
1526,Ivy,2023-07-20,,Venmo,25.0
1527,Grace,2023-10-10,60.0,paypal,45.0
1528,Eve,2023/02/15,100.0, Credit,29.0
1529,nan,2023/02/15,320.75,paypal,25.0
1530,nan,04-10-2023,100.0,crypto,30.0
1531,Grace,2023-01-01,120.25,Credit,60.0
1532,nan,"March 5, 2023",100.0,Venmo,38.0
1533,Eve,09-30-23,120.25,Cash,38.0
1534, charlie,2023-07-20,100.0,crypto,34.0
1535,Grace,2023-07-20,320.75, Credit,25.0
