Transaction ID,Customer Name,Email,Age,City,Transaction Date,Product Category,Amount ($),Payment Method,Review
652477,Grace,0917-0503053,,,,Home & Kitchen,three hundred,credit card ,Text with$pecial@charact3rs!
728582, Alice ,+63 935()096 3786,,Los Angeles,,Clothing,,debit_card,"Messy,   text with   spaces!"
531448, Bob ,0945.051 5615,,New York,2023-10-17,Grocereis,,Debit Card,Text with$pecial@charact3rs!
528028,Grace,+63 945 618.6312,,Los Angeels,,Grocereis,three hundred,credit card , This is a   sample review.  
876646,Charlie,+63 935552 4680,twenty,Los Angeles,26/06/2023,Electronics,,PayPal, This is a   sample review.  
354034,Charlie,+63 920.668 1912,,Maimi,2023-12-29,Sports,-50,Cash,!!!Extra punctuation???
668949, Alice ,+63 945 689-4385,,Seattle,2023-01-20,Hme & Kitchen,,paypal,Some RANDOM capitalization issueS
825676,Charlie,+63 920()157-0811,,Chcago,15/06/2023,Books,three hundred,PayPal,Data cleaning is necessary...
123139,Charlie,+63 945.860 3524,150,San Fransisco,2023-11-04,Books,10000,credit card ,Some RANDOM capitalization issueS
580433, Bob ,0917()593()3508,,New York,03/09/2023,Home & Kitchen,215.59559518783894,,"Messy,   text with   spaces!"
774683,   Henry,+63 935-3781119,150,Los Angeels,2023-02-02,Electrnics,10000,debit_card,
896552,Charlie,+63 935-8946641,,New York,,Clothing,10000,Cash,Data cleaning is necessary...
430026,Eva  ,0945520.6014,twenty,Los Angeles,,Hme & Kitchen,10000,Credit Card,
274415,Charlie,0945416()9944,-5,Los Angeels,"November 13, 2023",Sprts,1K,debit_card,!!!Extra punctuation???
686044, frank ,+63 920()169()5643,-5,Chcago,,Electrnics,210.82348105461207,debit_card,Text with$pecial@charact3rs!
144847,  David,0945()858()2102,,Nw York,"January 21, 2023",Clothng,38.11793389355401,Debit Card,
632370,Eva  ,0998754-2813,-5,Houston,2023-02-09,Clothng,36.053397156622495,CASH, This is a   sample review.  
576563,   Henry,+63 935()717()8550,-5,Nw York,29/10/2023,Boks,-50,,"Messy,   text with   spaces!"
878807,Eva  ,+63 920()285.7101,58,Huston,2023-05-23,Hme & Kitchen,1K,credit card ,Text with$pecial@charact3rs!
416169,   Henry,+63 920 206-0720,77,San Francisco,2023-06-26,Books,,CASH, This is a   sample review.  
215463, frank ,0935()204-6949,45,Chcago,,Toys,407.9024743024734,,
482435,Charlie,+63 9987184734,-5,Nw York,05/05/2023,Electronics,three hundred,Debit Card,   lots   of   spaces   here  
952616, Bob ,0998 356 0174,,Miami,"February 08, 2023",Sports,1K,CASH,Text with$pecial@charact3rs!
970188, frank ,0998 815.0590,-5,San Fransisco,2023-03-28,Boks,1K,Credit Card,   lots   of   spaces   here  
212131, Alice ,0920185 9327,,Seattle,"November 14, 2023",Toys,10000,paypal,Data cleaning is necessary...
805063, Bob ,0917 838 6416,-5,San Francisco,14/02/2023,Books,186.65078529674045,Debit Card, This is a   sample review.  
481067,Grace,+63 935-348.2141,twenty,Chcago,2023-10-30,Clothing,,,Text with$pecial@charact3rs!
534336, frank ,+63 920278 9958,45,Maimi,12/12/2023,Boks,10000,Debit Card,"Messy,   text with   spaces!"
266247, Alice ,0935()183()3238,150,,,Grocereis,-50,paypal,Data cleaning is necessary...
774668,Charlie,+63 920393()5392,-5,Chicago,"January 30, 2023",Grocereis,10000,debit_card,Text with$pecial@charact3rs!
528235,Eva  ,+63 998 419.2957,twenty,,15/06/2023,Sports,313.73651522287093,CASH,Text with$pecial@charact3rs!
718578,Charlie,+63 945.673.0008,,,18/10/2023,Boks,437.2799612858418,CASH,Text with$pecial@charact3rs!
710559,  David,+63 998()421-5577,150,Chicago,"October 12, 2023",Clothing,1K,Debit Card,"Messy,   text with   spaces!"
597826, Bob ,0945 183.9935,,Houston,05/08/2023,Toyss,10000,debit_card,"Messy,   text with   spaces!"
486543,  David,+63 935 768 8106,twenty,San Francisco,,Toys,,credit card ,"Messy,   text with   spaces!"
664626,Eva  ,0998()494-6484,150,Huston,"November 15, 2023",Electrnics,1K,CASH,
776309,Grace,0917 1878146,twenty,San Francisco,20/09/2023,Clothng,1K,debit_card,   lots   of   spaces   here  
188790,  David,+63 935-6794885,,San Francisco,2023-11-29,Grocereis,-50,,   lots   of   spaces   here  
960575,Charlie,+63 917.0595104,-5,,2023-11-17,Sports,499.6303959770331,,
175349,   Henry,+63 920()6287865,-5,Maimi,2023-06-24,Sports,27.197821091862682,paypal,Data cleaning is necessary...
608025, frank ,+63 920-595()2074,twenty,Chicago,"August 27, 2023",Clothng,-50,Debit Card,
608533,Charlie,0935-120 7633,,San Francisco,25/06/2023,Sprts,1K,credit card ,
895110,   Henry,+63 917556()4061,twenty,Huston,"August 03, 2023",Clothing,-50,Credit Card,!!!Extra punctuation???
821888, Alice ,0935.003()9299,twenty,Los Angeles,2023-09-09,Books,,credit card ,Data cleaning is necessary...
113728,Grace,0945.322-4730,,Los Angeles,,Books,10000,debit_card,   lots   of   spaces   here  
897522, Bob ,+63 935 464()5467,50,San Fransisco,2023-07-22,Boks,333.9669572883428,, This is a   sample review.  
928659, frank ,09984013968,,Nw York,"June 29, 2023",Boks,1K,Debit Card,Some RANDOM capitalization issueS
284350,  David,+63 945723 5828,,Chicago,"July 30, 2023",Groceries,1K,Credit Card,
983781,Charlie,+63 998.465.7486,-5,Los Angeles,,Toyss,1K,Credit Card,   lots   of   spaces   here  
880180, Alice ,0998-412.6870,twenty,Nw York,09/04/2023,Electronics,10000,PayPal,Data cleaning is necessary...
682108, frank ,+63 945()8244818,150,San Francisco,"August 27, 2023",Electrnics,1K,debit_card,
474698, frank ,+63 917580-4017,,Maimi,2023-12-29,Grocereis,10000,paypal,Data cleaning is necessary...
669313, Alice ,0935.042 4084,,Maimi,,Clothng,304.5588261095787,Credit Card,Some RANDOM capitalization issueS
239652, Bob ,+63 945()270.7897,twenty,Huston,27/06/2023,Books,94.27161602205729,paypal,
826068,   Henry,+63 917()908-1195,twenty,New York,"March 28, 2023",Electrnics,10000,CASH,
527833,  David,0917 884-6514,88,San Francisco,"July 10, 2023",Electrnics,,,Text with$pecial@charact3rs!
625144,   Henry,+63 917 073-6768,,Chicago,19/11/2023,Hme & Kitchen,,Credit Card,Text with$pecial@charact3rs!
159877,Charlie,+63 998()090-3239,-5,San Fransisco,08/02/2023,Home & Kitchen,1K,, This is a   sample review.  
516885, Bob ,0920()2220364,-5,San Francisco,10/10/2023,Clothng,-50,PayPal,Text with$pecial@charact3rs!
987701,Grace,0935-889-1081,,Los Angeles,15/08/2023,Boks,1K,Cash,   lots   of   spaces   here  
126845,  David,+63 945.095.5753,-5,Los Angeles,,Sprts,,CASH,Some RANDOM capitalization issueS
550665,  David,+63 935()764-6353,-5,Huston,,Clothing,197.29875554377193,Credit Card,   lots   of   spaces   here  
499930, Alice ,+63 945.067.3344,twenty,,05/07/2023,Groceries,10000,CASH,Data cleaning is necessary...
743417, frank ,+63 998.4468893,,Miami,,Electronics,three hundred,paypal,   lots   of   spaces   here  
245052,Grace,+63 998-409()4382,150,Maimi,18/08/2023,Sports,10000,Cash,   lots   of   spaces   here  
295026,  David,+63 945 903 4325,-5,Nw York,22/04/2023,Books,,PayPal,
967730,  David,09357203107,27,Nw York,,Electrnics,,,
539225,  David,0920()059()2750,29,,"June 01, 2023",Sports,1K,Debit Card,
926374,Grace,0935()028()7868,-5,San Francisco,2023-11-30,Toyss,,Debit Card,"Messy,   text with   spaces!"
503599,Grace,0920-430-4430,,Maimi,2023-12-28,Sports,-50,,!!!Extra punctuation???
967219,Eva  ,0935()423()7606,twenty,New York,,Sports,three hundred,paypal,Data cleaning is necessary...
751183, Bob ,+63 920 733()8350,-5,Seattl,,Toyss,,Debit Card,!!!Extra punctuation???
464707,  David,0920 232 9513,,Maimi,2023-12-17,Groceries,-50,Credit Card, This is a   sample review.  
974214,Eva  ,+63 998.832-6094,,Chcago,,Toyss,143.66715238600122,paypal,"Messy,   text with   spaces!"
305368,Grace,09353494530,-5,Chcago,19/11/2023,Clothing,10000,, This is a   sample review.  
942979,   Henry,0945()189.5486,-5,Los Angeels,,Home & Kitchen,-50,Debit Card,Some RANDOM capitalization issueS
993598,  David,+63 945238 1600,150,Houston,"August 31, 2023",Boks,,Credit Card,Some RANDOM capitalization issueS
111706, Alice ,+63 945.9184610,twenty,Miami,,Groceries,three hundred,,Text with$pecial@charact3rs!
526034,Eva  ,0945()002 5879,-5,San Francisco,28/04/2023,Home & Kitchen,-50,CASH,!!!Extra punctuation???
188935, frank ,0935 600-2438,,Huston,2023-08-08,Grocereis,1K,PayPal, This is a   sample review.  
889067,Charlie,+63 917 623.3474,twenty,,2023-08-07,Clothng,253.32360366760267,CASH,"Messy,   text with   spaces!"
794052,  David,+63 917 7034507,,Huston,2023-01-17,Boks,-50,PayPal,Text with$pecial@charact3rs!
122637,  David,+63 945.240 4980,150,Houston,25/08/2023,Clothng,-50,Cash,
829225, Alice ,0920()984-2059,,Los Angeles,07/12/2023,Electrnics,1K,debit_card,
474094, Bob ,+63 935 4847434,33,Houston,2023-07-24,Hme & Kitchen,10000,PayPal, This is a   sample review.  
383575,Eva  ,+63 998()0119159,55,Miami,2023-09-05,Toyss,-50,,   lots   of   spaces   here  
245698,  David,0945.4472283,twenty,San Fransisco,,Sports,three hundred,debit_card, This is a   sample review.  
637080, frank ,0917()4336375,-5,Miami,11/02/2023,Electrnics,1K,debit_card,Data cleaning is necessary...
103831,   Henry,+63 935116.1008,twenty,Seattle,2023-06-24,Home & Kitchen,-50,CASH,
960273, Alice ,+63 920.6963736,45,Chcago,"February 24, 2023",Toys,1K,Credit Card,Text with$pecial@charact3rs!
694350, Alice ,+63 998()929-4500,150,Seattle,2023-08-19,Grocereis,,CASH,
337629, Alice ,+63 920-359()6335,twenty,,03/07/2023,Sports,10000,,   lots   of   spaces   here  
333633,  David,0920.599.1172,-5,Chcago,,Hme & Kitchen,271.8219185994783,credit card ,"Messy,   text with   spaces!"
816855,Eva  ,0998()020()1269,twenty,Chcago,2023-06-20,Electronics,,Cash, This is a   sample review.  
659402, Bob ,+63 998-5031243,37,Seattle,"May 22, 2023",Boks,-50,paypal, This is a   sample review.  
901851,Charlie,0935()160 8798,-5,,01/04/2023,Clothng,10000,Debit Card,Some RANDOM capitalization issueS
659193,   Henry,0917-2864977,-5,Los Angeels,,Clothng,,PayPal,
958531,  David,+63 945.139 3763,69,Seattle,"July 06, 2023",Electronics,,CASH,Data cleaning is necessary...
471413,   Henry,0935()621.9704,twenty,San Fransisco,"July 27, 2023",Sprts,-50,CASH, This is a   sample review.  
364329,Charlie,+63 917.364 0701,,Chcago,,Electrnics,three hundred,paypal,   lots   of   spaces   here  
928125, frank ,0935-2536603,78,Maimi,,Grocereis,three hundred,debit_card,!!!Extra punctuation???
763151,  David,0945.6760901,89,Los Angeles,09/06/2023,Boks,-50,paypal,!!!Extra punctuation???
653617, Bob ,+63 920 056.6488,,Chcago,"October 14, 2023",Hme & Kitchen,,Debit Card,!!!Extra punctuation???
554424,  David,0945 293 4415,45,Nw York,"September 18, 2023",Groceries,10000,CASH,"Messy,   text with   spaces!"
225667,   Henry,+63 945 922 0501,,San Francisco,2023-01-27,Home & Kitchen,10000,credit card ,!!!Extra punctuation???
349110, Bob ,+63 935820.1646,150,Maimi,01/11/2023,Books,,Cash, This is a   sample review.  
870735,Charlie,0945()010()2455,,Miami,"September 04, 2023",Groceries,469.0748219898675,PayPal,Data cleaning is necessary...
446260,   Henry,0935-277.6484,150,Seattle,2023-12-25,Sprts,three hundred,Cash,   lots   of   spaces   here  
702875, frank ,+63 920-562.9272,63,Chcago,27/10/2023,Electrnics,,Credit Card,!!!Extra punctuation???
181541, frank ,0917-8424499,-5,Seattl,"September 19, 2023",Toyss,,CASH,Text with$pecial@charact3rs!
342742, Bob ,0945-890.0745,,Los Angeles,"August 11, 2023",Boks,,CASH,   lots   of   spaces   here  
417786, Alice ,+63 920439-9929,-5,Seattle,,Sprts,52.34916614989301,credit card ,!!!Extra punctuation???
106721,Eva  ,+63 935-267-6665,69,Miami,"April 08, 2023",Sprts,three hundred,Credit Card,!!!Extra punctuation???
107051,Eva  ,+63 917()892()6280,25,Miami,2023-06-11,Electrnics,,Credit Card,   lots   of   spaces   here  
508230,Eva  ,+63 920.123()1501,150,Maimi,"February 12, 2023",Sprts,10000,,
981172,Charlie,0920-517()5302,,New York,,Boks,three hundred,Credit Card, This is a   sample review.  
757442,Charlie,0920.091.6171,150,Chicago,"March 22, 2023",Sports,-50,CASH,
959585,  David,+63 917-914()5545,150,New York,,Electrnics,-50,credit card ,!!!Extra punctuation???
656486, Bob ,+63 917()927.4839,twenty,Miami,2023-06-23,Electrnics,,CASH, This is a   sample review.  
622107, frank ,0917()7232364,79,Chcago,2023-09-27,Boks,23.672190998165085,debit_card,Text with$pecial@charact3rs!
297912,Grace,+63 945370 3900,65,Chcago,"October 22, 2023",Toyss,-50,debit_card,Data cleaning is necessary...
768473, Alice ,+63 920.869.3597,83,Los Angeles,,Home & Kitchen,three hundred,Debit Card,
907431, Alice ,0998143()3972,,Los Angeles,15/07/2023,Home & Kitchen,,CASH,Data cleaning is necessary...
540826, Alice ,0935360()6050,,Los Angeels,"March 03, 2023",Electrnics,,Cash,Data cleaning is necessary...
955993, Bob ,0935757.8621,150,Huston,,Electronics,150.52078481645412,PayPal,
366556, frank ,+63 917 726 2440,-5,Los Angeles,30/07/2023,Sports,10000,credit card ,!!!Extra punctuation???
379604,Charlie,0920 081.5655,-5,San Fransisco,,Toyss,10000,,Text with$pecial@charact3rs!
567081, frank ,0935.3139996,,Huston,"November 01, 2023",Electrnics,140.50575685824984,Debit Card,   lots   of   spaces   here  
750508,Eva  ,0920.1938681,,New York,30/04/2023,Books,10000,PayPal, This is a   sample review.  
864957,Eva  ,+63 998-562.8125,-5,Maimi,"February 12, 2023",Boks,,PayPal,"Messy,   text with   spaces!"
325500,Eva  ,0998()1269372,twenty,San Fransisco,02/04/2023,Hme & Kitchen,31.724671779137285,credit card ,"Messy,   text with   spaces!"
173221, Bob ,+63 945-922-9210,26,Miami,2023-06-26,Toyss,,Debit Card,Data cleaning is necessary...
429559,Eva  ,0945 4599385,twenty,Los Angeles,,Clothng,,PayPal,"Messy,   text with   spaces!"
462516,Eva  ,+63 917.276.2741,,Huston,"July 15, 2023",Home & Kitchen,10000,paypal,
608020,  David,0998541.1040,twenty,Maimi,2023-09-08,Groceries,three hundred,credit card ,"Messy,   text with   spaces!"
845447, frank ,+63 998-4856494,,,"August 07, 2023",Hme & Kitchen,-50,CASH,Text with$pecial@charact3rs!
855537,  David,0920-226.4468,-5,Chicago,,Clothing,39.98338686266458,Debit Card,Data cleaning is necessary...
359606,   Henry,+63 917-137()6727,76,Los Angeles,2023-01-18,Groceries,-50,credit card ,   lots   of   spaces   here  
112467,   Henry,+63 935-007()3147,150,Los Angeles,"February 15, 2023",Toyss,295.8583234843202,,!!!Extra punctuation???
439095, frank ,+63 9209354502,150,San Francisco,,Boks,-50,credit card ,Some RANDOM capitalization issueS
998816,Eva  ,+63 945883()2441,,,2023-01-26,Toyss,three hundred,Credit Card,Data cleaning is necessary...
187961,Grace,0945.464 4219,43,San Francisco,,Electronics,10000,,
429033,Eva  ,+63 917 180()5567,twenty,Houston,13/01/2023,Grocereis,242.39340102634776,paypal, This is a   sample review.  
296790,  David,+63 998-407()4963,twenty,Chicago,,Home & Kitchen,297.44591258564174,, This is a   sample review.  
850592,Eva  ,+63 935 951 9122,,,04/01/2023,Clothing,,paypal,Some RANDOM capitalization issueS
321247, Alice ,0945 111-2466,twenty,San Fransisco,,Toyss,1K,credit card ,!!!Extra punctuation???
695055,   Henry,+63 935 092.5716,twenty,Los Angeles,26/08/2023,Grocereis,,, This is a   sample review.  
588327,  David,0920-4764090,-5,Nw York,"March 03, 2023",Toys,-50,debit_card,!!!Extra punctuation???
470203,Charlie,0935-259 5266,,Maimi,2023-02-27,Home & Kitchen,308.33220252804585,,"Messy,   text with   spaces!"
265708, Alice ,0917 743-7084,150,Chcago,05/06/2023,Groceries,10000,CASH,Data cleaning is necessary...
641816, Alice ,+63 920448-1293,-5,,25/10/2023,Hme & Kitchen,,,Some RANDOM capitalization issueS
610110, frank ,09173649013,150,Seattl,,Books,1K,,   lots   of   spaces   here  
228285,  David,+63 998.9337485,35,Chicago,"February 01, 2023",Books,,Cash,Some RANDOM capitalization issueS
261014, Bob ,+63 920.044-6031,,Seattle,"July 28, 2023",Toyss,10000,,Some RANDOM capitalization issueS
266928,Grace,+63 920 577-1539,-5,Los Angeels,2023-12-31,Toys,-50,Credit Card,Data cleaning is necessary...
203593,Grace,+63 920-532()0167,twenty,Houston,"July 11, 2023",Books,,paypal, This is a   sample review.  
720265,   Henry,+63 917()507.6799,28,Chicago,,Books,139.82870128938305,PayPal,!!!Extra punctuation???
929291, Bob ,0920-427 4752,-5,Chicago,"June 16, 2023",Electronics,-50,PayPal,!!!Extra punctuation???
499156, Alice ,+63 998()938-9577,,Los Angeles,"January 30, 2023",Toys,333.845070967309,Cash,Data cleaning is necessary...
110314,Charlie,0920037()4008,150,Maimi,2023-11-14,Sports,three hundred,credit card ,"Messy,   text with   spaces!"
500056, Alice ,0945()222.7479,54,New York,10/10/2023,Electrnics,,credit card ,Data cleaning is necessary...
762064,   Henry,+63 945()0480350,150,Seattl,05/02/2023,Clothing,395.61191012022937,credit card ,   lots   of   spaces   here  
300586,Eva  ,0920.022 0270,,Maimi,,Groceries,1K,debit_card,
668579,  David,0935724 9462,150,Miami,2023-02-08,Toyss,10000,,Text with$pecial@charact3rs!
587458,Grace,0945 371 0601,,Los Angeles,21/12/2023,Home & Kitchen,10000,Cash,Some RANDOM capitalization issueS
317631, frank ,0945-8036678,31,Seattl,,Sports,,Cash,
207296, Bob ,+63 9354069142,twenty,Huston,,Toys,three hundred,CASH,Some RANDOM capitalization issueS
707832,  David,+63 920()097.4603,,Los Angeles,21/10/2023,Electrnics,-50,CASH,
650323, frank ,0917 518-8486,-5,Los Angeels,19/04/2023,Toyss,,credit card ,Text with$pecial@charact3rs!
426104,   Henry,0935 9130541,,Los Angeels,,Electronics,255.7807104906842,Cash,!!!Extra punctuation???
385912,Grace,+63 945-0382008,twenty,Seattle,2023-10-27,Electrnics,-50,paypal,
994328,Charlie,+63 998()8626909,,Nw York,,Sprts,320.7737484549852,,"Messy,   text with   spaces!"
366945,Charlie,+63 998()335()8704,twenty,Seattle,2023-04-17,Sports,1K,Cash, This is a   sample review.  
522768,Eva  ,+63 945.8955219,-5,Seattl,"February 05, 2023",Toys,10000,PayPal,"Messy,   text with   spaces!"
923764,   Henry,0935()659-1645,-5,New York,2023-09-13,Hme & Kitchen,-50,Debit Card,   lots   of   spaces   here  
623099,  David,+63 998.198-9761,38,Nw York,"August 23, 2023",Clothng,three hundred,Debit Card,   lots   of   spaces   here  
701319,Charlie,+63 945-049-8018,150,Seattl,16/10/2023,Electronics,10000,debit_card,!!!Extra punctuation???
611613,Grace,+63 945-988 1763,twenty,Huston,2023-09-13,Clothng,10000,PayPal,Some RANDOM capitalization issueS
843500, frank ,0920995()6024,,San Francisco,,Sports,three hundred,credit card ,"Messy,   text with   spaces!"
228074, Bob ,+63 917.568 0529,,San Fransisco,,Sports,three hundred,Debit Card,   lots   of   spaces   here  
960137,Charlie,+63 998564.1310,twenty,Huston,2023-04-03,Clothing,-50,Credit Card,!!!Extra punctuation???
572132,Eva  ,0917-3220967,-5,,"March 24, 2023",Electronics,489.1848697929453,Credit Card,"Messy,   text with   spaces!"
271073,Eva  ,+63 920 782()4873,150,Maimi,"November 30, 2023",Sports,10000,paypal,Some RANDOM capitalization issueS
513496, Alice ,0998 080-0238,twenty,,"January 03, 2023",Toys,,CASH,"Messy,   text with   spaces!"
536976,Grace,0917354-9994,-5,San Francisco,08/01/2023,Home & Kitchen,-50,Cash,"Messy,   text with   spaces!"
396426,Eva  ,0917()200.1440,34,Chcago,08/03/2023,Toyss,,,Text with$pecial@charact3rs!
219239,Charlie,+63 945.0098511,twenty,Nw York,"June 10, 2023",Toys,-50,Debit Card,Text with$pecial@charact3rs!
704650,  David,+63 998-963()9820,twenty,Los Angeles,15/06/2023,Books,-50,PayPal, This is a   sample review.  
618924,  David,+63 917()538.0281,-5,,26/01/2023,Boks,448.31013808289947,debit_card,
809890, frank ,0935 8611707,twenty,Los Angeles,08/12/2023,Grocereis,-50,Debit Card, This is a   sample review.  
688730,Charlie,+63 998-030 3239,-5,Huston,16/02/2023,Groceries,three hundred,Cash,
616989,Eva  ,0935 064-8538,-5,Seattle,,Toys,three hundred,debit_card,!!!Extra punctuation???
569744,Charlie,+63 920-3222031,,San Fransisco,,Sports,86.75197619683381,credit card ,Text with$pecial@charact3rs!
122906, Bob ,+63 945()430.1748,,Houston,09/05/2023,Hme & Kitchen,-50,Debit Card,Text with$pecial@charact3rs!
218624,  David,0998058-7391,,Nw York,,Hme & Kitchen,,Cash,"Messy,   text with   spaces!"
860127, Alice ,+63 920.351.0947,,Chicago,"August 07, 2023",Groceries,-50,credit card ,"Messy,   text with   spaces!"
722377, Alice ,+63 920 903 9107,,,,Electronics,1K,Cash,
403243, frank ,+63 935 089()4378,twenty,Huston,"June 23, 2023",Hme & Kitchen,,Cash,!!!Extra punctuation???
156036, Bob ,0998 100-4554,150,Los Angeels,2023-03-19,Electrnics,1K,Credit Card,
650934, Bob ,0935 752.6340,,Chcago,04/06/2023,Books,,paypal,Data cleaning is necessary...
445870,   Henry,0945()016.0351,150,Los Angeles,24/01/2023,Sports,10000,Cash,   lots   of   spaces   here  
496673, Bob ,+63 998 7712656,-5,Maimi,27/01/2023,Electrnics,10000,PayPal,
190905,Charlie,0945()997()8859,-5,Chicago,09/05/2023,Electrnics,-50,CASH,"Messy,   text with   spaces!"
244239, frank ,+63 917()987.4701,50,Miami,2023-06-24,Toyss,,PayPal,Data cleaning is necessary...
908428,  David,+63 917 548()2261,28,Nw York,"July 10, 2023",Clothing,330.30613757098354,PayPal,"Messy,   text with   spaces!"
233748,Charlie,0917()110.2798,-5,Chcago,,Clothing,38.989273253581274,paypal,Text with$pecial@charact3rs!
340538,Eva  ,0945 086-2971,,New York,,Books,,CASH,   lots   of   spaces   here  
399122, Alice ,+63 945.988()0757,,Seattl,27/10/2023,Toys,three hundred,Cash,
215674, Alice ,0935 470-9311,twenty,Los Angeles,,Clothing,three hundred,Cash,"Messy,   text with   spaces!"
977844, Bob ,0945()3450491,,Houston,2023-05-08,Toyss,10000,PayPal,Some RANDOM capitalization issueS
197511, Alice ,+63 935-8720564,-5,Los Angeles,,Toyss,10000,Cash, This is a   sample review.  
893419,Charlie,+63 935-124-8018,twenty,Los Angeels,2023-09-02,Electronics,10000,paypal,Data cleaning is necessary...
549015,Eva  ,+63 917.890()5269,,Los Angeles,05/05/2023,Toys,three hundred,paypal,!!!Extra punctuation???
632756, Bob ,+63 935()031.1360,150,Chicago,,Grocereis,481.14386518463823,debit_card,Some RANDOM capitalization issueS
612451, frank ,0920()429()1978,-5,San Francisco,,Toys,183.81228611564072,Cash,!!!Extra punctuation???
818313,  David,+63 945.609 7998,150,Maimi,2023-12-25,Electrnics,-50,PayPal,Data cleaning is necessary...
380472, Bob ,+63 935-421 3662,150,New York,"February 26, 2023",Grocereis,10000,Debit Card,
